Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,0.0,0.65,2000.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,8744
360ONE,2026-01-27,1000.0,0.0,0.0,0.0,7.0,3000.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,6460
360ONE,2026-01-27,1020.0,0.0,0.0,0.0,3.6,500.0,500.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,5321
360ONE,2026-01-27,1040.0,0.0,0.0,0.0,1.95,2000.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,4186
360ONE,2026-01-27,1060.0,129.8,3000.0,0.0,10.8,500.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,3055
360ONE,2026-01-27,1080.0,130.0,2000.0,2000.0,4.95,38500.0,37500.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,1969
360ONE,2026-01-27,1100.0,112.0,1500.0,3000.0,7.0,49500.0,11000.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,933
360ONE,2026-01-27,1120.0,0.0,0.0,0.0,9.95,68000.0,18000.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,-25
360ONE,2026-01-27,1140.0,74.7,1500.0,0.0,13.7,44500.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,-897
360ONE,2026-01-27,1160.0,64.0,14000.0,1000.0,18.35,110000.0,108000.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,-1660
360ONE,2026-01-27,1180.0,51.8,28000.0,5000.0,25.05,85500.0,58000.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,-2237
360ONE,2026-01-27,1200.0,37.4,259500.0,254000.0,33.9,163000.0,126000.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,-2544
360ONE,2026-01-27,1220.0,27.55,170500.0,223000.0,42.05,2500.0,2000.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,-1519
360ONE,2026-01-27,1240.0,22.25,103000.0,147000.0,54.25,1000.0,1500.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,-107
360ONE,2026-01-27,1260.0,16.0,104500.0,59500.0,66.9,1000.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,1276
360ONE,2026-01-27,1280.0,11.6,157000.0,75500.0,113.9,1000.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,2809
360ONE,2026-01-27,1300.0,8.0,146000.0,65000.0,126.0,500.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,4668
360ONE,2026-01-27,1320.0,6.55,27500.0,23000.0,0.0,0.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,6759
360ONE,2026-01-27,1360.0,3.45,57000.0,29000.0,0.0,0.0,0.0,1202.1,1209.9,1195.1,0.259,2026-01-06 11:20,10849
ABB,2026-01-27,4300.0,875.0,250.0,0.0,3.45,750.0,0.0,5208.5,5254.5,5160.5,0.774,2026-01-06 11:20,38521
ABB,2026-01-27,4400.0,786.0,625.0,0.0,0.0,0.0,0.0,5208.5,5254.5,5160.5,0.774,2026-01-06 11:20,33892
