Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,0.65,2000.0,1182.7,0.254,2026-01-02 10:34,2461
360ONE,2026-01-27,1000.0,0.0,0.0,7.0,3000.0,1182.7,0.254,2026-01-02 10:34,1731
360ONE,2026-01-27,1020.0,0.0,0.0,3.6,500.0,1182.7,0.254,2026-01-02 10:34,1369
360ONE,2026-01-27,1040.0,0.0,0.0,1.95,2000.0,1182.7,0.254,2026-01-02 10:34,1011
360ONE,2026-01-27,1060.0,129.8,3000.0,10.8,500.0,1182.7,0.254,2026-01-02 10:34,657
360ONE,2026-01-27,1080.0,114.0,2500.0,6.8,14000.0,1182.7,0.254,2026-01-02 10:34,348
360ONE,2026-01-27,1100.0,0.0,0.0,9.0,22500.0,1182.7,0.254,2026-01-02 10:34,53
360ONE,2026-01-27,1120.0,0.0,0.0,14.0,1000.0,1182.7,0.254,2026-01-02 10:34,-235
360ONE,2026-01-27,1140.0,65.7,1500.0,19.55,13000.0,1182.7,0.254,2026-01-02 10:34,-503
360ONE,2026-01-27,1160.0,50.0,15500.0,24.45,20500.0,1182.7,0.254,2026-01-02 10:34,-757
360ONE,2026-01-27,1180.0,37.6,46000.0,34.7,42000.0,1182.7,0.254,2026-01-02 10:34,-896
360ONE,2026-01-27,1200.0,30.7,195500.0,46.1,61000.0,1182.7,0.254,2026-01-02 10:34,-858
360ONE,2026-01-27,1220.0,22.15,50500.0,0.0,0.0,1182.7,0.254,2026-01-02 10:34,-16
360ONE,2026-01-27,1240.0,16.15,16000.0,72.05,1000.0,1182.7,0.254,2026-01-02 10:34,718
360ONE,2026-01-27,1260.0,11.15,38000.0,0.0,0.0,1182.7,0.254,2026-01-02 10:34,1395
360ONE,2026-01-27,1280.0,9.2,53500.0,113.9,1000.0,1182.7,0.254,2026-01-02 10:34,2171
360ONE,2026-01-27,1300.0,6.5,22500.0,126.0,500.0,1182.7,0.254,2026-01-02 10:34,3052
360ONE,2026-01-27,1320.0,9.15,1000.0,0.0,0.0,1182.7,0.254,2026-01-02 10:34,3950
360ONE,2026-01-27,1360.0,3.05,33000.0,0.0,0.0,1182.7,0.254,2026-01-02 10:34,5733
ABB,2026-01-27,4300.0,875.25,250.0,3.45,750.0,5173.5,-0.058,2026-01-02 10:34,35979
ABB,2026-01-27,4400.0,786.0,625.0,0.0,0.0,5173.5,-0.058,2026-01-02 10:34,31812
ABB,2026-01-27,4500.0,0.0,0.0,6.5,3125.0,5173.5,-0.058,2026-01-02 10:34,27678
ABB,2026-01-27,4550.0,663.35,500.0,0.0,0.0,5173.5,-0.058,2026-01-02 10:34,25601
ABB,2026-01-27,4600.0,0.0,0.0,8.0,125.0,5173.5,-0.058,2026-01-02 10:34,23561
ABB,2026-01-27,4650.0,0.0,0.0,6.8,2625.0,5173.5,-0.058,2026-01-02 10:34,21488
ABB,2026-01-27,4700.0,0.0,0.0,7.0,15500.0,5173.5,-0.058,2026-01-02 10:34,19427
ABB,2026-01-27,4750.0,0.0,0.0,0.0,0.0,5173.5,-0.058,2026-01-02 10:34,17434
ABB,2026-01-27,4800.0,0.0,0.0,11.35,24750.0,5173.5,-0.058,2026-01-02 10:34,15452
ABB,2026-01-27,4850.0,0.0,0.0,0.0,0.0,5173.5,-0.058,2026-01-02 10:34,13566
ABB,2026-01-27,4900.0,0.0,0.0,20.4,12375.0,5173.5,-0.058,2026-01-02 10:34,11708
ABB,2026-01-27,4950.0,0.0,0.0,0.0,0.0,5173.5,-0.058,2026-01-02 10:34,9887
ABB,2026-01-27,5000.0,242.15,11125.0,33.75,79250.0,5173.5,-0.058,2026-01-02 10:34,8090
